GeneID	GeneSymbol	Node Class
4208	MEF2C	Indispensable
7019	TFAM	Neutral
4729	NDUFV2	Dispensable
79142	PHF23	Dispensable
926	CD8B	Neutral
60492	CCDC90B	Indispensable
4000	LMNA	Indispensable
8818	DPM2	Neutral
3024	HIST1H1A	Dispensable
8991	SELENBP1	Neutral
6137	RPL13	Dispensable
65125	WNK1	Dispensable
54606	DDX56	Dispensable
662	BNIP1	Neutral
127703	C1orf216	Dispensable
8894	EIF2S2	Dispensable
92799	SHKBP1	Dispensable
27175	TUBG2	Neutral
3156	HMGCR	Neutral
3439	IFNA1	Indispensable
9821	RB1CC1	Dispensable
220766	220766	Neutral
10771	ZMYND11	Dispensable
1974	EIF4A2	Dispensable
5702	PSMC3	Neutral
4988	OPRM1	Neutral
6875	TAF4B	Dispensable
8394	PIP5K1A	Indispensable
3611	ILK	Indispensable
4350	MPG	Dispensable
80227	PAAF1	Dispensable
6098	ROS1	Neutral
9782	MATR3	Dispensable
22827	PUF60	Dispensable
51451	LCMT1	Dispensable
5672	PSG4	Dispensable
8202	NCOA3	Indispensable
10507	SEMA4D	Neutral
2212	FCGR2A	Dispensable
7694	ZNF135	Neutral
716	C1S	Dispensable
7222	TRPC3	Indispensable
29085	PHPT1	Dispensable
940	CD28	Indispensable
5294	PIK3CG	Neutral
9627	SNCAIP	Indispensable
54583	EGLN1	Neutral
685	BTC	Neutral
200734	SPRED2	Dispensable
284352	LRRC68	Neutral
5607	MAP2K5	Indispensable
4862	NPAS2	Neutral
523	ATP6V1A	Dispensable
3823	KLRC3	Neutral
4360	MRC1	Neutral
3975	LHX1	Dispensable
57596	BEGAIN	Indispensable
6344	SCTR	Indispensable
1460	CSNK2B	Indispensable
3937	LCP2	Indispensable
3162	HMOX1	Dispensable
3895	KTN1	Neutral
351	APP	Indispensable
3303	HSPA1A	Indispensable
595	CCND1	Indispensable
23683	PRKD3	Dispensable
11018	TMED1	Dispensable
6337	SCNN1A	Neutral
6996	TDG	Indispensable
1854	DUT	Neutral
835	CASP2	Indispensable
51434	ANAPC7	Dispensable
25897	RNF19A	Indispensable
64219	PJA1	Indispensable
6863	TAC1	Indispensable
1267	CNP	Dispensable
57514	CDGAP	Dispensable
4620	MYH2	Dispensable
79571	GCC1	Neutral
11052	CPSF6	Dispensable
2191	FAP	Neutral
57662	KIAA1543	Dispensable
8322	FZD4	Dispensable
7021	TFAP2B	Neutral
10921	RNPS1	Indispensable
284004	HEXDC	Neutral
23682	RAB38	Dispensable
16534	16534	Dispensable
56658	TRIM39	Indispensable
54927	CHCHD3	Dispensable
8881	CDC16	Dispensable
4285	MIPEP	Dispensable
28996	HIPK2	Indispensable
25937	WWTR1	Indispensable
8440	NCK2	Indispensable
148022	TICAM1	Indispensable
10636	RGS14	Dispensable
139716	GAB3	Dispensable
6880	TAF9	Indispensable
27107	ZBTB11	Dispensable
405	ARNT	Indispensable
6092	ROBO2	Indispensable
6908	TBP	Indispensable
3843	IPO5	Neutral
8045	RASSF7	Neutral
3565	IL4	Neutral
54949	C11orf79	Dispensable
7042	TGFB2	Neutral
50615	IL21R	Neutral
56902	PNO1	Neutral
1258	CNGB1	Dispensable
121504	HIST4H4	Neutral
63974	NEUROD6	Dispensable
81857	MED25	Indispensable
28965	SLC27A6	Neutral
27071	DAPP1	Dispensable
7009	TMBIM6	Neutral
2313	FLI1	Neutral
392	ARHGAP1	Neutral
81618	ITM2C	Dispensable
2242	FES	Indispensable
51285	RASL12	Dispensable
2254	FGF9	Neutral
5530	PPP3CA	Neutral
79753	SNIP1	Indispensable
9693	RAPGEF2	Neutral
813	CALU	Neutral
6895	TARBP2	Indispensable
168544	ZNF467	Neutral
6641	SNTB1	Neutral
6810	STX4	Neutral
5140	PDE3B	Dispensable
1820	ARID3A	Neutral
23371	TENC1	Dispensable
7294	TXK	Neutral
114971	PTPMT1	Dispensable
5308	PITX2	Neutral
5275	SERPINB13	Indispensable
10392	NOD1	Dispensable
56970	ATXN7L3	Neutral
2775	GNAO1	Indispensable
7494	XBP1	Neutral
4009	LMX1A	Dispensable
5660	PSAP	Indispensable
2273	FHL1	Indispensable
